INGRESADO,WK IN,N°REF ASLI,EJECUTIVO,SHIPPER,BOOKING,CANT CONT.,CONTENEDOR,WK ETD,NAVIERA,NAVE INICIAL,ESPECIE,T°,CBM,CT,CO2,O2,POL,POD,DEPÓSITO ,ETD,ETA,TT,FLETE,ESTADO,ROLEADA DESDE,INGRESO STACKING,TIPO INGRESO,N° BL ,ESTADO BL/SWB,CONTRATO,MES DE INGRESO,MES DE ZARPE,SEMANA DE ARRIBO,MES DE ARRIBO,FACTURACION,BOOKING PDF,COMENTARIO,OBSERVACION
08-01-2026,2,A0646,RODRIGO CACERES,COPEFRUT,264246955,1,MNBU4078762,6,MAERSK,MAERSK BULAN [602N],CIRUELA,-0.5,10,NO,,,VALPARAISO,PUERTO CALDERA,CONTOPSA VAP,15-01-2026,27-01-2026,12,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,1,2,10,3,OK,,,
23-01-2026,4,A999,RODRIGO CACERES,COPEFRUT,265711895,1,MNBU3877574,6,MAERSK,MAERSK BINTAN [605N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ALGECIRAS,CONTOPSA VAP,05-02-2026,04-03-2026,27,COLLECT,CONFIRMADA,,23-01-2026,NORMAL,,,COPEFRUT,1,2,10,3,OK,,,
23-01-2026,4,A0647,RODRIGO CACERES,COPEFRUT,265641102,1,MNBU3877574,6,MAERSK,MAERSK BINTAN [605N],CIRUELA,-0.5,10,NO,,,VALPARAISO,ALGECIRAS,CONTOPSA VAP,05-02-2026,04-03-2026,27,COLLECT,CONFIRMADA,,23-01-2026,NORMAL,,,COPEFRUT,1,2,10,3,OK,,,
26-01-2026,5,A0648,RICARDO LAZO,FENIX,SAA0002351,1,OTPU683204-0,5,WAN HAI,KOTA CANTIK [092],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,30-01-2026,07-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,1,1,10,3,,,,
26-01-2026,5,A0649,RICARDO LAZO,FENIX,SAA0002352,1,OTPU625831-2,5,WAN HAI,KOTA CANTIK [092],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,30-01-2026,07-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,1,1,10,3,,,,
26-01-2026,5,A0650,RICARDO LAZO,FENIX,SAA0002353,1,SEGU982106-9,5,WAN HAI,KOTA CANTIK [092],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,30-01-2026,07-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,1,1,10,3,,,,
27-01-2026,5,A0651,RODRIGO CACERES,COPEFRUT,265821084,1,MNBU4558355,6,MAERSK,SALLY MAERSK [604W],CIRUELA,-0.5,10,SI,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,02-02-2026,28-02-2026,26,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,1,2,9,2,OK,,,
27-01-2026,5,A0652,RODRIGO CACERES,COPEFRUT,265821341,1,MNBU4343001,6,MAERSK,SALLY MAERSK [604W],CIRUELA,-0.5,10,SI,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,02-02-2026,28-02-2026,26,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,1,2,9,2,OK,,,
27-01-2026,5,A0653,RODRIGO CACERES,COPEFRUT,265821332,1,MNBU4617397,6,MAERSK,SALLY MAERSK [604W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,02-02-2026,28-02-2026,26,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,1,2,9,2,OK,,,
27-01-2026,5,A0654,RODRIGO CACERES,COPEFRUT,265821310,1,MNBU3226675,6,MAERSK,SALLY MAERSK [604W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,02-02-2026,28-02-2026,26,COLLECT,CONFIRMADA,,,NORMAL,,,COPEFRUT,1,2,9,2,OK,,,
